record,label,xa_max,xa_min,xa_mean,xa_var,xa_std,xa_rms,xa_delta,xa_Q1,xa_media,xa_Q3,ya_max,ya_min,ya_mean,ya_var,ya_std,ya_rms,ya_delta,ya_Q1,ya_media,ya_Q3,za_max,za_min,za_mean,za_var,za_std,za_rms,za_delta,za_Q1,za_media,za_Q3,xw_max,xw_min,xw_mean,xw_var,xw_std,xw_rms,xw_delta,xw_Q1,xw_media,xw_Q3,yw_max,yw_min,yw_mean,yw_var,yw_std,yw_rms,yw_delta,yw_Q1,yw_media,yw_Q3,zw_max,zw_min,zw_mean,zw_var,zw_std,zw_rms,zw_delta,zw_Q1,zw_media,zw_Q3
21,1,0.277058298,-0.738517274,2.366410189,4.592236551,3.205945052,3.354827901,0.609358276,0.243804277,3.230003545,5.871955103,1.17602532,-2.264421962,-1.082000874,2.121723194,2.757195678,2.737839248,2.009885096,-2.538851665,-0.923514459,2.084327616,-0.09724212,-1.074448137,-1.239272639,1.471391978,1.661721284,1.594223753,0.501857611,-1.091926009,-0.927699631,0.977448611,-0.444193607,0.362106163,0.669960276,-0.343235707,-0.134686491,-0.212089812,-0.47015116,0.554730208,0.792010545,0.863586328,0.001958208,0.818975278,2.624725705,0.173166809,0.457392391,2.21439425,-0.504615088,1.673007563,3.078038837,3.477770603,-0.280202214,0.688887441,1.908288796,-0.25266157,0.033869991,-0.056197293,-0.597968036,0.722933119,2.11266665,2.524386975
22,1,0.204083856,-0.066975609,-0.254661208,1.327592027,1.395366577,1.302872123,0.167182753,-0.995826312,0.049763489,0.999401296,0.289039044,-2.075739754,-0.123025063,0.94832842,1.655971437,1.6132592,1.390583885,-1.168425785,-0.71814177,1.224545663,2.40559688,-2.132154801,-0.864554036,2.961487967,2.626137522,2.518506912,2.674894433,-2.558239949,0.903261482,1.3601808,0.070592765,-2.846627266,-0.046198313,4.093919879,2.974695694,2.894043422,1.673153618,-1.735878925,0.499187173,1.510858156,1.877092822,-0.169122317,2.188887262,2.618068692,2.083250331,3.032791775,1.282373218,0.78255804,1.457346509,2.681691623,2.985555249,0.184931208,0.022093793,0.751715627,0.970231424,0.881095424,0.939473464,-1.417981344,-0.504559607,2.323369505
23,1,0.632636591,0.583420879,2.724206049,0.428287444,0.678401073,1.122462703,0.051149351,1.161452895,2.353841024,1.670580624,1.41972129,-0.611622744,-0.697032691,1.36699884,2.0887016,2.05774018,1.173990456,-2.828077524,-3.267013775,1.143544639,0.449614849,-1.0407293,1.850449737,2.652837176,2.445127816,2.469996245,0.837474357,-0.457917222,3.151228821,3.019937711,0.124373113,-0.694114767,-0.420580268,0.702009484,0.992308322,0.86740263,0.471335325,-1.148276582,-0.05459796,0.789098697,0.031128775,-0.153248894,0.668597482,0.943787852,1.079271949,0.870078343,0.114188836,-0.688760523,1.322576785,2.234912603,-0.142172378,-1.349057408,1.138592878,0.512209827,0.783463709,0.652159452,0.92271088,-0.191182001,1.752602353,2.378578529
24,1,-0.651988956,0.234160881,-0.693916455,-0.511222916,-0.411493419,-0.471252352,-0.546024408,-0.384060567,-0.788082887,-0.414497794,-0.396159426,0.427959296,0.674153679,-0.113811583,0.076414545,0.043721287,-0.47943938,-0.348305482,0.606934074,0.6272851,0.325952516,0.380785863,1.937342026,0.867699136,1.178477917,1.299963804,0.010479873,-1.025827221,2.355879198,2.158164906,0.245876861,0.440991665,-0.553482046,0.446787701,0.771493587,0.652323126,-0.107361545,-1.958179811,-1.0514112,0.275390897,-0.057647285,0.200187073,-0.808260446,0.257945308,0.534767201,0.255144924,-0.159821327,-1.405922857,-1.122629806,-0.505332051,-0.099798957,0.752177165,-0.681878649,-0.404473004,-0.167381352,-0.105026864,-0.578818915,-1.407508667,-0.911588812,-0.734361031
25,1,-0.334618979,0.052968586,-1.957058167,-0.087477281,0.15476277,0.373918878,-0.240548718,-1.758338162,-3.912125929,-0.873657296,0.381656085,-0.186884453,0.152723947,0.164876566,0.612896541,0.566852935,0.328856097,-0.064902963,0.699773783,0.571657891,0.689721868,-0.378775298,2.295466011,1.712906729,1.836267914,1.965943274,0.644716245,-0.294693683,3.095996208,2.913623214,-0.234937152,-0.395011996,-0.972467462,1.511555476,1.586984893,1.525336636,0.087478396,-1.865879443,-0.233629866,0.599026811,-0.240527774,0.002090434,-1.078765257,0.316375076,0.586488371,0.491541422,-0.15222725,-1.575964968,-1.02034304,-0.755122139,-0.381392472,0.08850097,-0.638882178,0.082069271,0.400414988,0.40460934,-0.200950489,-0.506858417,-0.145918488,0.325935345
26,1,-0.048228718,0.378531402,-0.058842688,0.445586258,0.69409783,0.592040645,-0.253680513,-0.605057284,-0.754875561,0.432280778,0.238120625,0.059337696,0.856922565,0.063073984,0.43493447,0.408898568,0.101343,-0.241544259,0.162428802,0.544332245,0.505671899,-0.481410704,0.237030278,2.664691792,2.452227987,2.347988142,0.579738107,-2.34780299,-0.607350477,1.725402366,-0.424938915,0.205705096,-1.65428075,0.233083538,0.567738279,0.675996932,-0.369132736,-2.631582496,-1.621885749,-0.184377584,-0.553817856,0.125132395,-2.072124425,0.02830833,0.317909177,1.243826941,-0.424820608,-2.740299111,-1.929865899,-1.643264675,-0.223757023,0.242238321,-0.651682295,0.286049719,0.591203264,0.587555879,-0.255272627,-0.361737032,0.298113373,0.201361138
27,1,-0.079724762,0.495012163,0.758138929,0.420656184,0.671445508,0.621093634,-0.342158673,-1.190479049,1.316750692,1.591235781,-0.163359579,-0.112265519,-0.721897828,0.165170298,0.613387556,0.588709868,-0.027293098,-0.758850912,0.612560723,0.531645337,1.142508853,-0.479636028,1.301887343,2.448957166,2.321023586,2.289926738,0.990281797,-1.179608076,1.938872971,1.716647054,-0.449173269,0.243606668,1.465933074,-0.053564131,0.255781051,0.381383138,-0.405182704,0.822531275,2.215162477,2.018144609,-0.068755581,0.542245559,1.026583079,0.244803037,0.522958857,0.509303069,-0.37806603,0.43793071,1.281800304,1.414463858,-0.619663907,0.728482878,0.518971533,-0.51533918,-0.337858434,-0.464667514,-0.748547183,0.568835153,0.646792238,0.928987756
28,1,-0.367147681,0.331683897,-0.823944395,-0.240857003,-0.029763338,-0.077444674,-0.425470225,-1.328053164,-0.972000384,0.222862421,-0.571335549,-0.033173516,-2.786579808,0.008339064,0.331822521,0.573392741,-0.307604593,-1.860432621,-3.078521033,-0.434511455,0.208786065,0.003963076,1.735123807,0.98443335,1.278176079,1.356861547,0.132819095,-0.23264176,2.176373206,2.483362191,0.025111854,0.630157043,1.257096834,0.162833547,0.496011153,0.536376084,-0.346298908,0.123128487,0.764700593,1.39784244,0.027064764,0.66482875,1.669819277,-0.191759659,0.083816124,0.784098067,-0.393650889,1.536065253,1.577602571,1.861242877,-0.391827717,0.730450842,1.563796761,-0.431689467,-0.207001066,-0.329556013,-0.668086779,1.251055276,1.597475837,1.985037284
29,1,-0.397266849,0.597274616,0.493147197,-0.373769647,-0.206318293,-0.281303797,-0.601134892,-0.482118713,0.591298342,0.926560128,-0.757826876,-0.012841381,-2.914755391,-0.065864352,0.181512288,0.471296412,-0.426400989,-1.953606052,-3.050387788,-0.586754343,0.079109027,0.180839078,2.030237096,0.515489133,0.853595394,1.025262155,-0.043927658,0.235445579,3.667653751,1.990563229,-0.400261924,0.571592264,0.589194302,-0.204109574,0.06578907,-0.03333759,-0.564234382,-0.339673358,0.403602342,0.530960528,-0.436954966,0.881551428,1.537628989,-0.714833338,-0.692462176,0.139296341,-0.818692507,1.493879233,1.646024124,1.492311717,-0.111340971,0.812947895,1.390378184,-0.41835352,-0.187427763,-0.322727387,-0.626833775,0.387807445,0.98408567,1.158317546
30,1,0.901988008,-0.492613445,0.050601381,3.428833761,2.645116974,2.563899261,0.854987425,-4.154176739,2.077964778,2.828234893,0.78334583,-1.206541001,1.426964508,0.617493426,1.265265046,1.263884639,1.16067086,-0.043550718,1.220238817,1.213810587,-0.011352134,-1.610104392,-0.943104607,1.583072334,1.743554976,1.657245599,0.838873408,-0.930051425,-0.651536567,0.767321135,1.198209517,0.056610356,0.503649061,2.609556177,2.2420199,2.160436811,0.675989232,-1.304277204,-0.18811328,1.32078627,-0.49394143,-1.622687373,-2.370614349,4.129947844,2.79634992,3.747115212,0.692302108,-2.250292267,-1.36728869,-1.090206404,0.295317378,-0.12608583,0.145292303,2.185660293,1.873571044,1.780338168,0.197146681,-2.329104271,-0.527330471,3.48983708
31,1,-0.311384192,-0.162858051,-0.152920871,0.995814378,1.150854825,1.054098898,-0.098574639,-0.931429918,1.181366979,1.786346051,-0.470755957,0.450121323,0.255994591,-0.201361959,-0.137410282,-0.18397263,-0.535237687,-0.208545336,-0.076703781,0.354028634,-0.080641535,-0.168180459,-0.663061184,0.597284064,0.932708925,0.852292761,0.036284589,-1.564060212,-1.195577803,0.186969057,-0.507379982,0.359252129,-0.356294133,-0.063968188,0.243352712,0.097269818,-0.505873997,-1.050776194,-0.925481978,0.351162798,-0.592019558,0.092835027,-1.946229208,-0.040318566,0.248122977,1.044376099,-0.428844335,-2.083495235,-1.887016038,-1.837545855,0.259900788,0.741235285,0.324407665,0.021927717,0.340208286,0.227873543,-0.441649835,-1.585544181,-0.430554297,0.984196779
32,1,-0.438573137,0.188589379,-0.570962643,-0.283582324,-0.08459278,-0.165996131,-0.385644289,-0.221606027,-0.586284522,-0.603104388,-0.133395242,0.209592171,-1.349818514,0.051370223,0.413372181,0.440211908,-0.200087855,-1.743965833,0.078029067,0.005626639,0.516979544,-1.665415115,-0.202027625,4.368991469,3.369272903,3.23998604,1.209310975,-1.747518074,-0.331187413,3.445195699,-0.232170673,0.730619042,1.305325633,-0.389726824,-0.209107171,-0.075990867,-0.555990651,0.652230596,0.547738198,1.70735139,-0.287309055,0.056500488,1.097803322,0.099962941,0.388139067,0.438508234,-0.215190082,1.436765853,1.409658761,1.351508632,-0.364000396,0.776028889,1.474457383,-0.640471937,-0.570667661,-0.698693207,-0.690986173,1.502399531,1.338457252,0.812907245
