record,label,xa_max,xa_min,xa_mean,xa_var,xa_std,xa_rms,xa_delta,xa_Q1,xa_media,xa_Q3,ya_max,ya_min,ya_mean,ya_var,ya_std,ya_rms,ya_delta,ya_Q1,ya_media,ya_Q3,za_max,za_min,za_mean,za_var,za_std,za_rms,za_delta,za_Q1,za_media,za_Q3,xw_max,xw_min,xw_mean,xw_var,xw_std,xw_rms,xw_delta,xw_Q1,xw_media,xw_Q3,yw_max,yw_min,yw_mean,yw_var,yw_std,yw_rms,yw_delta,yw_Q1,yw_media,yw_Q3,zw_max,zw_min,zw_mean,zw_var,zw_std,zw_rms,zw_delta,zw_Q1,zw_media,zw_Q3
21,1,-0.201241339,-0.377188763,-2.338988924,0.752327329,0.963764172,1.210133423,0.101415883,-3.495944562,-1.904084279,-0.121789836,-0.240758332,0.284549444,0.742846618,0.105272157,0.501249386,0.4721945,-0.307571782,-0.512682398,-0.230835275,1.321973058,0.750893435,-0.629993716,1.788707224,3.242711205,2.810579418,2.811535795,0.812665278,-1.006173059,2.425414214,3.733959681,-0.017566307,-0.138037962,0.059609242,0.517344928,0.82828264,0.69248266,0.068469673,0.056110186,0.440795941,0.642346633,0.584118031,-0.184916185,-1.44301309,2.266964329,1.890849701,2.123524474,0.480545322,-2.242679923,-1.970741369,0.302364836,0.290371311,0.954605318,2.542233897,-0.482855092,-0.288602397,-0.224418982,-0.578625467,1.712442639,1.761315324,2.215693787
22,1,0.507598462,-0.522267447,-0.994434528,1.489055914,1.518401539,1.477967141,0.625823231,-1.308777112,-2.452058625,-0.177021698,-0.242448617,-0.916368021,-0.039452232,0.343941046,0.885127568,0.840559668,0.403983591,0.235544082,2.148293111,0.950352809,0.073703442,-0.52803432,-2.004156696,0.577446805,0.917170513,0.960802725,0.326467795,-2.573020915,-0.091110619,-0.665424122,-0.243987792,0.321985096,0.36788283,-0.143022816,0.14622369,0.019812378,-0.327666609,0.412984753,0.2101658,0.336119694,1.157897724,0.482074931,1.86364901,1.318711938,1.328341467,2.040541543,0.422747505,1.519333775,1.542396917,1.72689768,0.968962799,0.110414117,0.986477055,1.299529182,1.352844296,1.228465187,0.276511715,0.696012832,0.613577652,0.651231491
23,1,-0.215064137,-0.35857555,-0.864776958,0.769016979,0.977529852,0.925651989,0.081746705,-2.057768048,-1.615419221,0.363736771,-0.050390032,-1.015486807,-0.71106115,0.254097956,0.74839247,0.720901406,0.573471113,0.288336181,-0.119139106,0.058875979,-0.021511561,0.106061475,-1.878919879,0.011431573,0.291943389,0.362894339,-0.069855902,-1.925045607,-1.373113836,-0.82258952,-0.274242387,0.346497274,-0.067587887,-0.391350959,-0.205649115,-0.369044121,-0.359495565,0.21569846,-0.15854863,-0.204503176,1.160827507,0.76740451,1.510506154,0.526919604,0.758237638,1.177421116,0.246435548,1.267794317,1.342400114,1.098687544,-0.134770345,0.204861903,-0.034054234,0.253679146,0.561928681,0.478288018,-0.196538076,0.136605479,0.378465329,0.534953888
24,1,-0.154210114,-0.491825277,-0.00821847,1.44817535,1.490033425,1.397489264,0.199033286,-1.098034414,0.838233768,0.954589254,-0.464721038,0.240838675,-0.496940369,-0.138024592,0.011579425,-0.021091595,-0.410701043,-0.064964789,-0.021404959,-0.084213258,-0.431814614,-0.169458017,-1.169415826,0.240415056,0.566086655,0.522272124,-0.185949191,-2.065258752,0.003852582,0.068014403,-0.677962303,0.646239792,-0.298363381,-0.629182439,-0.686836744,-0.850227373,-0.768606302,-0.049444264,-0.531670005,-0.542234945,-0.232742097,0.908190322,1.481275267,-0.655294164,-0.567150884,0.134777025,-0.712493195,1.353812992,1.404899115,1.591454758,-0.517953172,0.817865122,0.377899112,-0.658033666,-0.613504472,-0.720644412,-0.777258803,-0.12158253,0.499499484,0.201977115
25,1,1.310332145,-0.150872974,1.895591712,1.741386534,1.688481782,1.800165698,0.8992144,-0.675125083,2.587348311,2.286576266,0.943497296,-0.226640817,-1.775637952,0.763861002,1.440573218,1.472923405,0.678183232,-2.1999991,-3.567758303,-0.19230225,0.397814361,-0.61195034,1.841772055,2.637569336,2.457711566,2.482767022,0.577750659,-1.734464634,2.922574503,4.047043133,-0.021144808,0.034890414,1.124735706,1.004907797,1.221140651,1.208891764,-0.032385934,-0.219085343,0.740468226,2.003355255,0.12643099,-0.663367969,1.222650876,2.870723398,2.205993078,2.430312255,0.493192172,0.70150471,1.477814616,2.169979802,2.035210666,0.625576688,2.411085195,1.627016628,1.557632012,1.508029535,0.298204492,-2.001606713,1.929650182,3.065313091
26,1,0.18765127,-0.226891421,2.010640268,1.994980675,1.851566175,1.979505827,0.251588497,-0.629559095,5.505800969,3.183130687,-0.393729086,-0.064110634,-1.767076809,0.083858258,0.463105878,0.52944914,-0.188857462,-1.244665155,-2.294421984,0.21843592,-0.08182231,-1.864389777,-2.626788693,2.301701351,2.248153653,2.299694051,0.934366207,-3.060363689,-3.861708316,1.022232891,-0.273266432,-0.031258887,0.745875083,0.931866527,1.166090753,1.093290372,-0.143212058,0.249626676,0.659674228,1.963029074,0.412908835,0.861994977,2.465301147,0.60803388,0.822801844,2.282362481,-0.280096848,1.576679558,1.955584757,3.050699105,0.823032463,0.313512364,0.325098822,0.97841591,1.136165566,1.025224594,0.077142071,-2.139603752,0.276907935,0.437174994
27,1,-0.41279757,0.716293981,-0.089729148,-0.464603032,-0.34663521,-0.458004449,-0.683373918,-0.675125083,-0.920666032,0.525578973,-0.694811025,0.338726171,0.336607303,-0.121799177,0.0491185,0.006640771,-0.601374506,-0.187807943,0.682280901,1.088294951,0.287165505,-0.465025705,-2.498986886,2.342092876,2.273944938,2.306294544,0.429375554,-5.222096439,-2.130026411,0.540757942,-0.540352694,0.614116527,0.574593031,-0.531723413,-0.460022422,-0.536176595,-0.669156793,0.206902256,0.008915294,1.035526902,-0.220656742,0.965384558,1.799461329,-0.756599822,-0.773734036,0.476456345,-0.740648171,1.852981967,1.829892321,1.985532406,-0.614520181,1.014493262,1.605955866,-0.807989412,-1.085721725,-1.130316955,-0.953859527,1.894954852,1.510899832,0.759581076
28,1,-0.138701609,0.083444757,2.122723352,1.575288866,1.577472861,1.744022151,-0.135550882,0.693278511,2.433230526,4.199140067,-0.586210241,0.153211922,-1.235072427,-0.103539677,0.090291804,0.113865209,-0.428721268,-0.861922437,-1.582358911,0.035199343,-0.144982387,-0.325261139,-0.428166814,0.826924727,1.148976421,1.055327397,0.079580108,-0.611398187,0.36415414,0.596888441,-0.675468197,0.782343937,0.59184375,-0.686419423,-0.861455769,-0.88501437,-0.844855186,0.827662947,0.553907539,0.102983957,-0.360736993,0.862269949,2.006031184,-0.485568208,-0.291928463,0.987913675,-0.763824524,1.520637088,2.521547932,2.39254179,-0.495276893,0.841930765,0.399587245,-0.519668944,-0.348677094,-0.464859571,-0.786207781,-0.529638292,-0.139060021,0.889072043
29,1,0.24766244,-0.664736802,2.367101949,4.421240859,3.150270709,3.29745676,0.550580819,0.256129808,3.091289005,5.793157311,1.152247441,-2.280020884,-1.149427803,2.210875045,2.838361587,2.819145249,2.016793733,-2.676143223,-0.937313539,2.198008603,-0.113877236,-1.017783105,-1.257407084,1.467187139,1.670964085,1.598982993,0.465900988,-1.109631302,-0.959744607,0.962360359,-0.473120261,0.383321504,0.639586148,-0.368053967,-0.168425073,-0.243424289,-0.497740609,0.521052403,0.741937208,0.821294063,0.003563214,0.824782061,2.629447578,0.179130423,0.458645565,2.243309484,-0.512718758,1.677034678,3.08195564,3.491058756,-0.298440626,0.703533591,1.823576878,-0.264444219,0.01708488,-0.071591488,-0.614591298,0.694528993,2.042337153,2.343863418
30,1,0.176188462,-0.023885636,-0.237105788,1.261361141,1.357214755,1.265464927,0.123062386,-0.949944952,0.045628017,0.981562955,0.257875617,-2.089581478,-0.17183826,0.991418356,1.701330088,1.658867565,1.388399264,-1.242634689,-0.733468032,1.291090489,2.356251618,-2.041959512,-0.88586153,2.95487317,2.646339677,2.532438114,2.584527741,-2.589356427,0.892037818,1.344047754,0.031339866,-2.762631804,-0.067850418,3.925812455,2.879159339,2.791804529,1.596003903,-1.693077832,0.458423722,1.45643142,1.904534615,-0.1622768,2.192243071,2.669348741,2.103858565,3.072246996,1.291717664,0.782961788,1.453509449,2.690652342,2.887807883,0.198391796,0.002230661,0.718686943,0.946442522,0.856549048,0.917892921,-1.428844807,-0.516074456,2.156233649
31,1,0.266373788,-0.380146002,1.0879414,2.295820614,2.036188,2.013246826,0.391874487,0.360077219,1.349513404,2.002710182,-0.040882181,0.191381889,0.215478753,0.128121239,0.541156213,0.49673702,-0.137110194,-0.473088324,0.699035327,0.99976492,0.059456808,-0.32841157,-0.574044643,0.662527886,0.998492773,0.910013696,0.211738526,-1.110992594,-1.535109885,0.3149886,-0.308183921,0.062312713,-0.645302993,0.524471072,0.834517664,0.725005604,-0.217223967,-1.439244514,-1.289664609,0.872961983,-0.096781854,0.552742809,0.983630416,-0.011132976,0.274658177,0.233367152,-0.405592506,0.58550983,0.663244304,1.729620151,-0.267280026,0.613267703,-0.213610565,0.014343037,0.331432847,0.273440422,-0.538355065,-1.623227734,-0.748404385,2.069025447
32,1,-0.016319279,0.636274563,1.175197129,0.194309601,0.45686386,0.476283908,-0.39072985,0.118007905,1.15380828,1.160103162,0.014263353,-0.153173891,-0.938287377,0.491019041,1.093344299,1.074440326,0.099100864,-1.779692773,0.246665845,0.842263817,0.433668389,-0.113036666,0.085436606,1.691374009,1.835384953,1.734739918,0.336622169,-2.005361875,-0.60502912,1.973956691,-0.216661061,0.471856355,1.786332659,0.537720503,0.846064655,1.017008621,-0.397140656,0.691950083,1.665926755,3.140049493,-0.07975249,0.696186687,2.155166457,-0.033302062,0.252035521,1.50747738,-0.484506556,1.74220034,2.19308096,2.998291542,0.007149221,0.612794281,1.092133176,-0.062569088,0.250626192,0.113322379,-0.437254265,0.310214658,0.844516384,2.002958627
33,1,0.59592951,0.59678672,2.722595793,0.390915892,0.647187942,1.086810751,0.010875222,1.148938396,2.252203287,1.644345306,1.397972561,-0.611829143,-0.756987383,1.426523792,2.148130846,2.117457741,1.168625573,-2.978682559,-3.263386245,1.205648714,0.42583274,-0.985133186,1.80615209,2.646721566,2.463273028,2.48344606,0.79311432,-0.46982375,3.165568577,2.999273812,0.084041418,-0.652234052,-0.437672813,0.643437098,0.936171153,0.811426332,0.421975607,-1.125094367,-0.077754631,0.74820286,0.033135712,-0.146420065,0.667188194,0.964034983,1.087928301,0.881680387,0.112127154,-0.694343782,1.318094947,2.24144466,-0.163771299,-1.339205543,1.080343678,0.484247516,0.76107179,0.629848518,0.901184386,-0.212096718,1.690364268,2.207765769
